"","0.0_SE_5","0.0_SE_10","0.0_SE_20","0.0_SE_40","0.1_SE_5","0.1_SE_10","0.1_SE_20","0.1_SE_40","0.2_SE_5","0.2_SE_10","0.2_SE_20","0.2_SE_40","0.3_SE_5","0.3_SE_10","0.3_SE_20","0.3_SE_40","1_SE_5","1_SE_10","1_SE_20","1_SE_40","2_SE_5","2_SE_10","2_SE_20","2_SE_40","3.0_SE_5","3.0_SE_10","3.0_SE_20","3.0_SE_40","3.1_SE_5","3.1_SE_10","3.1_SE_20","3.1_SE_40","3.2_SE_5","3.2_SE_10","3.2_SE_20","3.2_SE_40","3.3_SE_5","3.3_SE_10","3.3_SE_20","3.3_SE_40","4_SE_5","4_SE_10","4_SE_20","4_SE_40"
"HALLMARK_ANDROGEN_RESPONSE",7.08423222067437,1.12239234701608,2.03112205369798,1.93754118841942,6.71482770787546,0.710844321792703,3.85214106048415,3.10364235817063,4.8897170609076,1.46424445828518,1.93688937315089,1.86673533695972,4.27320861171518,1.96878409339198,1.62965918801113,1.46244663668838,6.9166614542458,2.03112205369798,2.92904406987836,1.84282875291699,6.07771247776839,3.96457161870219,2.75324619064697,2.57597916413357,7.67029293317808,3.58192488101555,4.49708409314553,2.36293363657222,2.90808730634091,1.33858023658045,0,1.57145098752941,2.4902749620498,2.48578262461698,3.11162545167617,2.72055140476729,2.78681347866075,1.94430067098632,1.48951418444237,1.50016229245058,4.52660312339206,1.27284071169102,1.17270826305869,1.73287807559358
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",6.49743936196416,1.93754118841942,1.74679038777113,1.00340018868722,8.24712584179742,1.47024066721637,2.85433871999948,3.19055858898325,5.67432053008901,0.44804242127526,2.52687534558701,0.795957736375572,4.27320861171518,0,1.62965918801113,1.31898767249792,5.32047643757879,1.84282875291699,2.48668782112196,1.3433282226418,4.39022050654496,2.39688719275181,2.66481617223099,0,8.67375843025207,3.40446009445141,4.92143878755603,1.43306135156401,3.97033740824878,0.855698885363288,2.59587637986285,0,3.94200410607091,2.69839017047976,3.11162545167617,2.12156290265025,2.78681347866075,1.55817183410761,1.21239149488414,0.772398159372022,4.52660312339206,1.59215576045774,2.16213996923547,1.15986966479664
"HALLMARK_MYOGENESIS",6.41353807957428,2.21549007912417,1.5496945877745,1.74679038777113,7.65171171470431,2.47209872051559,2.90035726801938,2.48668782112196,4.54510945048338,1.34857843748505,2.43047769306739,1.96979743617536,4.02244256495324,0.767509121132363,0.662401463128558,0.32839711970103,5.9096519363763,2.57597916413357,2.57597916413357,1.74679038777113,4.30526868030852,2.92904406987836,1.93754118841942,1.12239234701608,7.25174371372665,3.84692622472086,5.25994493222095,2.4092750558928,2.63680108945725,0.855698885363288,2.59587637986285,0.877480141391492,3.17591797549811,2.27024359933913,3.11162545167617,2.91568686358533,2.78681347866075,0.974633177888256,0.486372507816186,0,5.08385505383985,2.0638790518271,1.85157659925155,0.890923798082412
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",6.2456714501047,2.39688719275181,2.75324619064697,2.75324619064697,6.6295597345798,2.08578927873347,4.38823043622401,4.39022050654496,4.59440274160333,2.30945268487357,2.13710076025432,2.27201599709526,4.27320861171518,1.08651904888421,2.02496441377791,2.37228075072592,7.25174371372665,1.93754118841942,2.48668782112196,1.93754118841942,5.82558037133252,2.66481617223099,3.19055858898325,1.12239234701608,6.32961577322536,2.50177332035894,3.64219207783486,2.68448387301629,3.26538972201915,0.855698885363288,1.86578197314679,1.13180151260367,2.88453545229624,2.90875383121025,3.30523056009135,3.20567206305103,1.63313582446586,1.28174855628467,1.21239149488414,2.6662754753405,4.41482422311748,1.59215576045774,1.41244863404509,1.94395302809936
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",6.07771247776839,1.3433282226418,1.84282875291699,1.93754118841942,7.22607368382399,1.12598869798414,3.31116470460771,2.21549007912417,4.69292265967628,1.22857432398168,1.29372161151802,1.96979743617536,4.14792757375778,0.567823841898334,1.34838870416186,1.60074877576705,5.9096519363763,1.74679038777113,2.39688719275181,1.4479226863882,5.06740670682357,3.87914173075227,3.10364235817063,2.39688719275181,7.16799507029979,4.28612764657704,4.41201421377099,1.37946188153485,3.08726921083693,1.75248306424781,1.47360138346373,0.559927669806316,1.43859710193788,2.69839017047976,3.11162545167617,2.81832767375465,1.87573864693723,1.94430067098632,1.99646979710742,0.941811641396176,5.19503245521448,0,1.17270826305869,1.22190619746208
"HALLMARK_P53_PATHWAY",5.82558037133252,0.875619504454876,1.23517084054924,2.1237286913846,7.22607368382399,2.08578927873347,3.17482689431316,3.79359404295977,4.49579283057704,0.822877358555241,1.83491288832816,1.96979743617536,4.39830518667129,0.935437648398703,0,1.60074877576705,5.23616319467364,1.64918250571844,1.93754118841942,1.64918250571844,5.06740670682357,3.87914173075227,2.39688719275181,0.875619504454876,8.17218662178726,3.13676389080966,3.72818775658996,2.5932370008002,2.99782395928978,1.33858023658045,1.03490480020691,1.77426501235665,3.56053648895149,2.48578262461698,3.11162545167617,3.10932353332258,3.0068205102502,1.28174855628467,1.74843902010537,1.50016229245058,3.79731787420838,0.988579905977163,0.905088649614773,1.51381821905856
"HALLMARK_ESTROGEN_RESPONSE_LATE",5.74147940065772,2.21549007912417,1.64918250571844,0.569815735253171,6.71482770787546,2.28047195177241,1.90557317306578,2.39688719275181,3.75252349470638,2.70636339840347,1.0500385066789,0.411414751827107,3.13597157536525,1.22705632790623,1.03905835243235,0,6.58132055731392,2.75324619064697,1.23517084054924,1.3433282226418,3.53614796501162,2.75324619064697,2.1237286913846,0.569815735253171,4.89845967683524,2.95706555976974,3.12267195377932,1.09584267574607,1.03688393320496,2.13868165534827,1.1518423778503,0.877480141391492,1.77081804091099,1.5930113708188,2.72044935223178,2.52353546925018,1.63313582446586,0.282534021325184,0,1.50016229245058,3.62788202894375,3.26906993574927,2.75933638192068,1.03036533522006
"HALLMARK_MTORC1_SIGNALING",5.57318305049702,2.03112205369798,1.64918250571844,1.5496945877745,7.22607368382399,0,2.1978599020558,2.39688719275181,3.80232567030015,0,0.597870582166335,0,2.87880448066078,0.767509121132363,1.03905835243235,0,6.07771247776839,2.1237286913846,2.48668782112196,1.93754118841942,4.72929861694268,2.66481617223099,2.03112205369798,1.5496945877745,6.74902617751622,1.43088909559464,2.85985821427709,0.388713970742393,2.99782395928978,1.11122163341937,0.773279801927426,0,2.18812981511292,0.773556351061022,2.91679525775747,2.52353546925018,2.11032606538561,0,0.899818147363635,0,4.19085770320686,0.739181160902034,1.63682243331539,1.78627810238466
"HALLMARK_UV_RESPONSE_UP",5.4889843129632,1.23517084054924,0,1.64918250571844,5.94663625674487,1.12598869798414,1.85584742787484,2.48668782112196,2.58882421573961,0.968881617441994,0.768828430214802,0.627611541756317,2.61887086257255,0.27367502264097,0,1.0074403887206,5.65734750174247,0.734417173150344,0,0,4.04989201430069,2.92904406987836,2.1237286913846,0.35008943118029,5.06740670682357,2.03270434282958,2.72740345108202,0.905907742219149,1.888409289354,0.855698885363288,1.86578197314679,0.877480141391492,2.39031243214284,2.05077249743676,2.32151223696983,2.12156290265025,2.33942151847786,1.13356403085609,1.99646979710742,1.236157816557,3.17295135704735,1.77309389663565,0,1.34182639118125
"HALLMARK_KRAS_SIGNALING_DN",5.40474943609063,0,0,0.875619504454876,6.28828502447163,0,1.70440331775616,1.93754118841942,4.39708603806652,0,0.371961342310545,1.20163439455649,4.39830518667129,0,0,1.16840978773281,6.74902617751622,1.93754118841942,1.74679038777113,0.875619504454876,4.64462945893668,2.39688719275181,0.35008943118029,1.00340018868722,5.9096519363763,2.59368145669616,2.59409395050168,0.226075543124234,2.45379386795138,0,0.9100165363752,0.877480141391492,1.55197501100149,2.27024359933913,2.72044935223178,2.22328917764413,2.33942151847786,0.589554438091832,0.486372507816186,1.236157816557,3.51461014995632,1.53036729243413,1.95637922486309,0.735837795675041
