"","0.0_SE_5","0.0_SE_10","0.0_SE_20","0.0_SE_40","0.1_SE_5","0.1_SE_10","0.1_SE_20","0.1_SE_40","0.2_SE_5","0.2_SE_10","0.2_SE_20","0.2_SE_40","0.3_SE_5","0.3_SE_10","0.3_SE_20","0.3_SE_40","1_SE_5","1_SE_10","1_SE_20","1_SE_40","2_SE_5","2_SE_10","2_SE_20","2_SE_40","3.0_SE_5","3.0_SE_10","3.0_SE_20","3.0_SE_40","3.1_SE_5","3.1_SE_10","3.1_SE_20","3.1_SE_40","3.2_SE_5","3.2_SE_10","3.2_SE_20","3.2_SE_40","3.3_SE_5","3.3_SE_10","3.3_SE_20","3.3_SE_40","4_SE_5","4_SE_10","4_SE_20","4_SE_40"
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",5.6104067637912,1.69325163880031,1.36844313550104,2.74665746082852,6.58954820712954,0,2.17507652762263,3.81035744609165,4.03529192831504,1.27086393187517,0.757406208867337,2.66289102121459,3.69996996563443,1.14964994383397,1.60724117895674,1.10036892900692,5.1002159869933,1.25202372400845,3.54834440133316,2.8373195912713,3.81035744609165,3.19553520409534,2.8373195912713,2.74665746082852,5.52552736072038,1.99996101420039,4.69589657019798,2.4414212178296,2.81568021639949,1.12377949326642,2.30541355134267,0.867212755703178,0,1.91748562862029,2.62143624331789,1.99301591805587,0.82725941315488,1.66647164823545,1.29989838271203,1.16195525167432,4.1841700322974,0.871762645261586,0,2.94841697396386
"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION",5.52552736072038,0,0.99836381398038,0,7.18938274010892,0.464917147382497,2.66456100044257,2.0927206192944,4.63622760328108,1.13567033146594,0,1.42711952210482,2.91843366047895,0,2.15901847933411,0,3.72322965481612,1.12943083607113,1.69325163880031,0,3.63589737061618,0,0,0,3.28417173219219,2.29694978524694,1.38837487320706,0.54014084934852,1.04225305680832,0,0,0,1.61458348614687,0.801216985598827,0,1.2902466453994,1.17052086271923,0,0,0,2.36785902055877,1.2009222287848,0,0
"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",5.27053629363782,0,0.99836381398038,0.99836381398038,7.10377466606399,0,2.51995519639987,1.79587002774257,4.33652498273466,0,0,2.25665714940443,3.69996996563443,0.245262208144096,1.30214666532583,0.697150942442064,6.9625747650214,0.99836381398038,2.18885494959431,0.102234455740164,4.58733758410527,1.12943083607113,1.58819392976171,0,4.58733758410527,0.638660932812776,1.8147008349123,1.17217677093944,0.24551922355638,0,0.736282041892678,0,1.49502495391642,0.263576797137358,1.53143708293508,2.82352849927292,1.98105007558322,0.648839834753467,0,0,2.97059335703821,0,0.538765963460796,0
"KEGG_CHEMOKINE_SIGNALING_PATHWAY",5.27053629363782,0.854896414989916,0.691299673354398,1.99532124088641,6.1171337792115,0,2.42259726631515,1.89645461235977,3.16929986128461,0,0,0.793429751379176,3.05047554017749,0,0,0,3.37250265506292,0.102234455740164,1.12943083607113,0.487640047887935,3.46055280702061,2.37796123169378,0,0.487640047887935,4.67304490754565,1.79451832047072,2.20755586520538,0,2.24670509950326,0,0,0,2.27698854256646,1.13492942182571,2.62143624331789,1.2902466453994,1.46226397099707,0,0,0,2.61212914511814,0,0.748589027982302,0
"KEGG_PARKINSONS_DISEASE",5.18541110240811,1.25202372400845,3.72322965481612,1.12943083607113,6.76107483590581,1.51739169121457,5.84820109467452,2.74665746082852,4.08561923315844,0.990190976160352,4.972530468254,2.35964817306291,3.05047554017749,0,3.04666380320877,0,3.63589737061618,1.4801642601043,3.46055280702061,0,3.89729539803455,3.10656521088116,4.58733758410527,2.9274952620675,4.58733758410527,3.3258730935552,4.56701182355681,0,1.9491260747133,2.01122910744787,2.67549211944278,1.39303320345551,2.48538919337264,2.37701463112242,3.02544149691269,1.77131292578195,1.98105007558322,2.19452108057019,1.85929420761871,0.999584637315576,2.61212914511814,0,2.66177019449716,2.02272117595721
"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",5.01494706174281,0.102234455740164,0,2.0927206192944,5.98808516333513,0,1.42648016193768,2.37796123169378,3.27247731939001,0,1.33278082577614,1.71923940100745,2.78542609623644,0,0.467116304517696,0.399844976838237,4.50152604506573,1.12943083607113,2.56365530668734,0.854896414989916,3.81035744609165,2.18885494959431,2.74665746082852,0,4.58733758410527,1.58031602325938,3.8313696628596,0,1.04225305680832,1.59445294386436,0.893210033046082,0,1.61458348614687,1.13492942182571,2.62143624331789,1.99301591805587,1.46226397099707,1.8031606691918,2.11588048256871,0,3.3805243088599,0,1.07154099491105,2.44361465477263
"KEGG_MAPK_SIGNALING_PATHWAY",5.01494706174281,0.487640047887935,0.102234455740164,2.47118432209591,6.67532729131496,2.16139668329139,2.17507652762263,3.89729539803455,3.78280902706544,0,1.33278082577614,1.88543296010634,3.1816783906079,0,1.45838004950405,0,4.67304490754565,1.99532124088641,1.12943083607113,0.691299673354398,4.41560370451079,1.79587002774257,1.12943083607113,0.487640047887935,5.6104067637912,0,2.39676220385274,2.4414212178296,1.9491260747133,0,1.03268050522062,0.867212755703178,2.38171213338944,1.41731031439143,2.82467305637286,3.22065502348291,3.14202183973844,0,0.529864131685917,1.31208620273705,2.79236391939284,1.04460843240922,0,1.57287943739985
"KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION",5.01494706174281,0,0,0.102234455740164,5.72967573385256,0,0.902504587851031,1.36844313550104,3.78280902706544,0,0,1.48747739840689,3.69996996563443,0,0,0.914475112724335,4.15709727607117,0.691299673354398,0.691299673354398,0,4.07065375793896,3.10656521088116,2.37796123169378,0,5.6104067637912,2.58475166204791,2.11140466597253,0,2.90826955260585,0.840176658984029,0,0,2.8919562753689,0,1.28037416241942,1.41722881009334,2.22350541731735,0.648839834753467,0,1.31208620273705,2.61212914511814,0,0,0
"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",4.92960015372358,0,0,2.47118432209591,6.63244177591845,0,1.11587119869351,2.0927206192944,3.42647166453132,0,0,0.793429751379176,3.69996996563443,0,0,0,4.75865409674435,1.36844313550104,1.12943083607113,0,4.92960015372358,2.74665746082852,1.12943083607113,0,7.55166823835562,2.48963186004113,2.11140466597253,1.35523199326313,2.34354168858123,0,0.736282041892678,0,1.84386558674937,0,2.20465470451112,1.01268604113348,2.22350541731735,1.37803583564747,0,0,2.79236391939284,0,0,2.44361465477263
"KEGG_CARDIAC_MUSCLE_CONTRACTION",4.75865409674435,0,1.99532124088641,2.47118432209591,6.76107483590581,0.464917147382497,3.13713593973907,3.46055280702061,4.33652498273466,0.990190976160352,1.06995275962593,1.71923940100745,2.78542609623644,0,0.467116304517696,0.914475112724335,3.98405680521988,1.89645461235977,0,0,5.27053629363782,1.4801642601043,3.54834440133316,0.691299673354398,4.84417077581944,1.46870447208092,2.85662423242837,1.23480692299193,2.72256665332225,0,1.28163346439946,0,1.84386558674937,2.37701463112242,1.28037416241942,1.5390147383407,1.46226397099707,1.66647164823545,0.529864131685917,0.598408278344898,2.73252902994089,0.960793874369228,0,0.629938190217058
