"","0.0_SE_5","0.0_SE_10","0.0_SE_20","0.0_SE_40","0.1_SE_5","0.1_SE_10","0.1_SE_20","0.1_SE_40","0.2_SE_5","0.2_SE_10","0.2_SE_20","0.2_SE_40","0.3_SE_5","0.3_SE_10","0.3_SE_20","0.3_SE_40","1_SE_5","1_SE_10","1_SE_20","1_SE_40","2_SE_5","2_SE_10","2_SE_20","2_SE_40","3.0_SE_5","3.0_SE_10","3.0_SE_20","3.0_SE_40","3.1_SE_5","3.1_SE_10","3.1_SE_20","3.1_SE_40","3.2_SE_5","3.2_SE_10","3.2_SE_20","3.2_SE_40","3.3_SE_5","3.3_SE_10","3.3_SE_20","3.3_SE_40","4_SE_5","4_SE_10","4_SE_20","4_SE_40"
"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION",8.90235593678766,2.48617390311913,3.06964451296171,1.85149114493945,9.50759430834145,1.56797120012694,5.36688526355624,1.49448103573325,7.40141220531213,0,2.877081396529,1.10145464364842,6.23448175516961,1.05517979937247,1.65549799144127,0,6.94941457430689,2.48617390311913,1.73678238701503,1.73678238701503,7.54595324991546,5.487585764671,3.89963530172352,0.71384177835541,9.91518638865739,7.71748670286765,7.49090424024474,3.1119101258886,4.64172223331514,2.10011976897113,1.26061855470542,0,4.19607330196337,3.69232814859566,3.83176316905004,1.17550777708045,3.62014406464598,2.94525746532671,2.84851437167907,0,5.98132697494833,2.1671393960094,2.27828676495506,2.43254847580068
"GOBP_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT",8.73323138963295,2.17800032672136,1.85149114493945,1.73678238701503,9.50759430834145,1.81894724826442,4.35406950543304,2.48617390311913,7.20324439659993,0.502024504149849,2.45371638083115,0.708252888633097,6.23448175516961,0.841658132344355,2.11899502208614,1.26177982263032,7.03478287490027,2.6846157972517,2.58598451898645,1.36458148381464,6.77851181615829,4.70137468988899,3.16397023181826,2.58598451898645,9.83089464256767,7.71748670286765,7.40558035686323,3.73015791714687,4.64172223331514,1.63767395780456,1.52425643847142,0,4.19607330196337,3.25170192728556,3.21602983376812,2.68033846866119,3.38929334392214,2.68797389756993,1.76461998343577,1.43207175019643,5.0096286269423,1.38062743169059,1.92256366475058,1.51640034798146
"GOBP_NEGATIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT",8.64862959421805,1.61809774851774,2.48617390311913,1.73678238701503,9.67915393551598,0.96923217754711,4.02607084675061,3.98978586294352,6.15789819961896,0,2.34431982717604,2.05057869150755,5.34397615730852,0,0,1.26177982263032,6.52170799712526,0,1.96292765631485,2.07162571157637,6.52170799712526,4.96478968168921,3.06964451296171,2.28238077474637,9.99946031390822,7.19136264010131,6.97825149216462,4.14742839328949,4.18664015116072,1.87560663753892,2.20149743326626,0,4.29534546843514,3.02668390904755,3.21602983376812,2.11571454447706,3.8483515638928,2.42322189277551,1.44703435339669,1.07850273202096,5.35427326635175,0.670850817171907,1.23949694313619,2.92150828879127
"GOBP_NEURON_PROJECTION_REGENERATION",8.64862959421805,0,2.6846157972517,2.07162571157637,9.33595048374016,2.0540907606829,5.63976033507256,3.06964451296171,7.20324439659993,1.15121350183637,2.56150861233361,1.80833444368148,5.85409039733525,1.5652397863249,2.2637319420468,1.26177982263032,6.35017598429754,2.48617390311913,2.6846157972517,1.61809774851774,6.60737248185292,6.00621458657628,3.98978586294352,2.6846157972517,9.74658458790991,7.36692601275697,6.7212182990911,3.30461312914843,4.82223321867359,2.10011976897113,1.98792985594062,0.759917742492702,3.99651958742742,3.47337745200036,3.42362188501341,1.74672022275394,3.15520000942883,2.42322189277551,2.33006081819499,0,5.75392893266019,0.801858300890381,1.23949694313619,2.48828180082425
"GOBP_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT",8.64862959421805,2.28238077474637,1.36458148381464,1.36458148381464,9.42178322375446,1.29186674170959,4.540015975286,3.06964451296171,7.59933723296416,0,2.56150861233361,2.16712165172519,5.72690439695852,0.841658132344355,1.81612066326328,1.44579814793146,7.54595324991546,2.6846157972517,2.48617390311913,1.73678238701503,6.69297290874144,4.87715362701531,2.97462244831816,3.62708661826703,9.83089464256767,7.89251034554016,7.74662156461216,3.06331345569895,4.73207348544397,1.63767395780456,1.76376049308489,0,4.19607330196337,3.25170192728556,3.00542273640661,2.68033846866119,3.15520000942883,2.94525746532671,1.76461998343577,1.07850273202096,5.81083958567201,2.48388344334309,2.93754434941391,2.3763808601766
"GOBP_REGENERATION",8.64862959421805,1.22639087640346,2.28238077474637,2.28238077474637,9.59338434922318,0,5.36688526355624,3.44335347576739,7.351893818088,0,2.77303915290582,3.54424812656861,5.98107333877196,1.05517979937247,2.54366982462144,2.36823578514077,6.52170799712526,1.96292765631485,2.97462244831816,2.6846157972517,5.92001737595166,5.31384658765232,4.07962684308179,3.35077326297947,9.74658458790991,7.62991302608777,7.49090424024474,3.58937783752785,4.27814894857381,2.31516216764492,1.52425643847142,0,4.39431264370097,3.25170192728556,3.42362188501341,2.57084551376237,3.38929334392214,2.42322189277551,1.44703435339669,0,6.15147223647153,2.54553622841832,2.50399348310658,3.13161656894088
"GOBP_REGULATION_OF_GLIOGENESIS",8.64862959421805,2.6846157972517,2.48617390311913,0.71384177835541,9.59338434922318,1.81894724826442,4.40064825085271,1.73678238701503,7.69821483596474,0,2.00380602495506,1.68129624412805,6.10786642942728,0.568765741982183,2.40510001715054,0.818787769979332,5.92001737595166,2.58598451898645,2.58598451898645,1.85149114493945,6.43597677491698,5.40077643339319,3.62708661826703,1.73678238701503,9.49353942381039,7.89251034554016,7.74662156461216,2.81735631518739,4.55116760246228,1.63767395780456,1.52425643847142,0,3.7954364131284,3.69232814859566,3.42362188501341,2.11571454447706,3.15520000942883,2.94525746532671,1.44703435339669,0,5.58293415934775,2.42172486222495,2.50399348310658,2.02817588065849
"GOBP_GLIAL_CELL_DIFFERENTIATION",8.56400035471257,1.49448103573325,1.07670489362575,1.96292765631485,9.42178322375446,0.96923217754711,4.40064825085271,4.87715362701531,6.55724193596382,0,2.45371638083115,2.71966268837334,5.2158182381062,0,0,1.61667453441314,6.43597677491698,1.36458148381464,1.85149114493945,2.07162571157637,6.52170799712526,4.78935185020032,2.97462244831816,1.49448103573325,9.99946031390822,7.19136264010131,7.40558035686323,2.08940651996147,4.55116760246228,1.63767395780456,2.80259833209197,0,4.19607330196337,3.25170192728556,3.62872967413971,2.11571454447706,3.62014406464598,2.14817763734618,1.76461998343577,0,5.35427326635175,2.1671393960094,1.53327305667618,2.70741502577346
"GOBP_POSITIVE_REGULATION_OF_NEUROGENESIS",8.56400035471257,2.07162571157637,1.49448103573325,1.73678238701503,9.50759430834145,2.0540907606829,4.81725840643753,2.7821956538998,7.40141220531213,0,2.877081396529,1.68129624412805,6.10786642942728,0,2.2637319420468,0.496756413455519,7.12009857085715,2.07162571157637,2.17800032672136,2.07162571157637,6.60737248185292,4.61321171006572,3.53544516743335,2.6846157972517,9.74658458790991,7.71748670286765,7.49090424024474,3.16033049476754,4.55116760246228,2.10011976897113,1.76376049308489,0,4.19607330196337,3.25170192728556,3.42362188501341,2.89557423406375,3.15520000942883,2.94525746532671,1.44703435339669,1.43207175019643,5.23962724166455,2.42172486222495,2.50399348310658,2.48828180082425
"GOBP_RESPONSE_TO_WOUNDING",8.56400035471257,1.22639087640346,2.7821956538998,2.38503277869719,9.42178322375446,0.772709197042431,4.7711784562225,4.16917891979175,7.351893818088,0,3.77887881349559,2.16712165172519,5.2158182381062,0,2.11899502208614,1.44579814793146,6.69297290874144,2.07162571157637,3.06964451296171,1.49448103573325,7.12009857085715,5.31384658765232,3.71831210214621,2.48617390311913,10.0837168890537,7.89251034554016,6.89263089055799,3.87003004704443,4.18664015116072,2.31516216764492,1.52425643847142,0,4.39431264370097,3.47337745200036,2.57210251444698,2.34721467171822,3.8483515638928,2.42322189277551,2.05560269779513,2.28408442916418,5.52584357749949,0.917017558126441,2.61432594084433,3.07941715929784
"GOBP_ASTROCYTE_DEVELOPMENT",8.47934280614202,0,1.96292765631485,1.49448103573325,9.42178322375446,1.69587180353801,4.7711784562225,3.25766161527005,6.6568446442442,1.15121350183637,2.34431982717604,0.921695437873608,5.72690439695852,0,1.65549799144127,0,6.86399161042162,2.28238077474637,1.61809774851774,2.6846157972517,6.26430263216085,4.43628217993067,3.35077326297947,0.71384177835541,9.91518638865739,7.54229610000022,7.32021149149718,1.86383530331036,4.55116760246228,0.715388962983461,1.76376049308489,0,4.19607330196337,3.25170192728556,3.42362188501341,0.549244822815924,3.15520000942883,2.42322189277551,1.44703435339669,0,4.54628149585044,0.670850817171907,0.887245426785932,2.02817588065849
"GOBP_NEGATIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION",8.47934280614202,0.909845979446959,1.36458148381464,3.53544516743335,9.67915393551598,1.43394294465294,4.35406950543304,3.71831210214621,6.25788341642893,0,0.64283605918011,2.16712165172519,5.72690439695852,0,0,2.22686100140634,6.43597677491698,0.71384177835541,2.17800032672136,2.6846157972517,6.94941457430689,4.43628217993067,2.87883324957921,2.07162571157637,9.99946031390822,7.19136264010131,7.32021149149718,3.77687769016628,4.18664015116072,1.63767395780456,2.60726039694471,0.759917742492702,3.89618445023881,2.56297983209551,3.42362188501341,1.61525413450942,3.8483515638928,3.19691221054264,1.44703435339669,2.0192439301015,5.69697539149268,0,1.92256366475058,3.54276433825451
