"","0.0_SE_5","0.0_SE_10","0.0_SE_20","0.0_SE_40","0.1_SE_5","0.1_SE_10","0.1_SE_20","0.1_SE_40","0.2_SE_5","0.2_SE_10","0.2_SE_20","0.2_SE_40","0.3_SE_5","0.3_SE_10","0.3_SE_20","0.3_SE_40","1_SE_5","1_SE_10","1_SE_20","1_SE_40","2_SE_5","2_SE_10","2_SE_20","2_SE_40","3.0_SE_5","3.0_SE_10","3.0_SE_20","3.0_SE_40","3.1_SE_5","3.1_SE_10","3.1_SE_20","3.1_SE_40","3.2_SE_5","3.2_SE_10","3.2_SE_20","3.2_SE_40","3.3_SE_5","3.3_SE_10","3.3_SE_20","3.3_SE_40","4_SE_5","4_SE_10","4_SE_20","4_SE_40"
"REACTOME_AUTOPHAGY",8.26238453672026,2.41298396820845,5.37123777047743,3.16795629165793,9.28318347967338,2.09034886678975,7.21257274660856,2.98343937575107,7.0484482636628,2.12781787297029,5.91509971559657,3.23450342848423,5.65399324840466,1.46692045799,3.55064144285012,0,6.05704905790772,2.98343937575107,4.15410457363469,2.60658594841025,6.22778309157524,5.80045105213063,5.71477322926307,4.4174539990508,10.0300765799332,7.93126403446245,7.70133998260546,2.33369332633197,4.43901423972605,2.0325181152155,2.81649390237529,0,4.26851974170776,3.77445582658096,3.71226462929049,2.47439817835134,3.70387265962136,2.79972021886409,2.70896601291562,1.90664549102957,5.24105171162014,2.54518780018638,3.54521079376831,2.92190925637369
"REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES",8.26238453672026,2.41298396820845,5.54317843430273,4.06590959836088,9.19761444527153,1.38199276241806,7.39026539519668,4.4174539990508,6.94974915659683,1.89699442279301,6.00710834925806,3.43304998282065,5.40104719473743,1.75020147942845,4.04154001600374,1.6442511713425,6.99339635338139,2.31450103760994,4.50486727993951,3.79987822421536,7.84015282042369,5.19891487926839,5.71477322926307,3.79987822421536,10.0300765799332,7.49565224082955,7.78610141824606,4.58073082518654,3.80589352641227,2.2413684824059,3.18663501134283,0.0471281548453424,4.36614501856105,3.34466665810089,3.51203878700705,2.99959660202385,3.92721776697133,2.28645944453283,2.70896601291562,2.41459547532281,4.78513155603582,2.54518780018638,3.54521079376831,4.07086412610592
"REACTOME_SIGNALING_BY_ERBB4",7.92465267038604,3.16795629165793,5.11259732428656,2.60658594841025,9.36873529697298,2.19829899763931,7.52343437999685,2.60658594841025,6.94974915659683,1.3923082118229,5.73083407369563,2.30426688629492,5.02005859328121,3.08932397300997,3.42640756987384,0.293986107013598,6.31305925025233,2.11336570754445,3.62113271806309,2.21469246595627,7.07823422379404,4.85294969837071,5.37123777047743,3.16795629165793,9.94606207258511,7.58283984335537,7.53172463426643,4.40109965528532,4.70731504375384,3.21601224269952,3.36855494168158,0,4.46354267824218,3.77445582658096,3.51203878700705,2.03045996525589,3.92721776697133,2.92422119432055,2.70896601291562,0.499332100392252,3.38751909526434,3.12401570982108,3.54521079376831,1.76779062473006
"REACTOME_NUCLEAR_SIGNALING_BY_ERBB4",7.84015282042369,1.57331251055501,2.79649630944733,1.2004371438001,9.45427039730302,1.5106784264808,5.19789312383879,1.57331251055501,7.24568557605473,1.65398495924549,2.15138750938675,1.85472011107289,5.27427620843471,1.88400085348355,1.83136649242177,0.927359997093,4.85294969837071,1.79762898109073,2.51030097505442,1.33136135510115,7.50185685557342,4.76614662013539,3.35046098761096,2.41298396820845,9.60986690566434,7.49565224082955,7.70133998260546,4.89352269803386,4.70731504375384,2.64191435708188,1.71364737332997,0.0471281548453424,4.26851974170776,3.77445582658096,3.91096389827208,1.27229299461827,3.92721776697133,3.16994722102689,3.19514422766511,1.77177867005068,2.90323479209705,1.36568970316605,2.07592887038991,3.17742657993495
"REACTOME_NERVOUS_SYSTEM_DEVELOPMENT",7.07823422379404,3.62113271806309,4.85294969837071,5.88605406364434,8.85515541994638,1.63383658865233,6.67845163592232,5.28512657047768,5.66031492204805,2.45879019911524,5.26850539658958,4.40290198396581,5.02005859328121,2.01399421885115,3.30142806174591,3.01246090058255,5.54317843430273,2.11336570754445,3.4410624943173,4.67920419641916,5.97158566558906,5.28512657047768,4.93962115261967,5.28512657047768,7.33251557332146,3.58459721073846,7.06457719497926,3.16182209457859,3.34498778427384,1.81527012369245,3.27781953742475,1.61387313975898,2.96777717932785,3.12634692815537,3.91096389827208,2.99959660202385,3.02034175892699,2.28645944453283,2.70896601291562,1.90664549102957,5.12737423911084,1.79421315456125,2.93726126437938,4.50770769957786
"REACTOME_NEUTROPHIL_DEGRANULATION",6.56855424196731,4.59211408909482,4.67920419641916,3.35046098761096,8.89797954329776,4.0672445174722,5.10736575821663,5.02616814415384,6.25710008489184,4.0850462087758,4.04986888511244,2.62319667885479,4.63674840822883,2.62643667490798,2.7919532193573,1.79634801197293,6.48344250203316,2.11336570754445,3.62113271806309,2.41298396820845,7.92465267038604,5.54317843430273,5.02616814415384,3.53127636825249,8.59972858324122,7.49565224082955,6.59620993421914,2.82796386861246,4.25924704439766,0.716270513710395,2.72232187798861,0,3.57711206667875,3.77445582658096,2.89887208247727,2.6874665180298,3.2509255188944,2.79972021886409,2.95419426503426,0.985765338575948,4.49830049503089,2.66326572464884,2.51697907572516,1.82799454457352
"REACTOME_HEMOSTASIS",6.48344250203316,1.33136135510115,2.70195217617499,3.35046098761096,8.59810269607899,2.40917895047888,3.96246346258557,4.24208468740725,5.85962255043056,1.65398495924549,3.3764154875542,3.43304998282065,4.63674840822883,0,2.92101410970699,2.75632795315035,5.71477322926307,2.51030097505442,2.41298396820845,3.35046098761096,5.80045105213063,4.59211408909482,4.85294969837071,1.33136135510115,7.67106624362022,4.67543555087978,5.65451281411706,3.11458362895626,2.58118815298442,2.2413684824059,2.33662589615391,1.09119411896067,2.96777717932785,2.45001141042015,3.51203878700705,2.2559870707987,3.02034175892699,1.4238296434958,1.64533827823014,1.90664549102957,4.55580086309166,2.83798599058578,3.04013098972277,3.02463887288636
"REACTOME_NEURONAL_SYSTEM",6.39827825758214,1.45508220098549,2.31450103760994,2.11336570754445,6.74860907110535,1.86794293380028,4.10152119255214,4.76614662013539,4.80766774246653,1.52607164110954,2.67853616756586,3.23450342848423,4.25045114242556,0.967845080140247,1.83136649242177,1.94301559874245,5.37123777047743,2.31450103760994,1.79762898109073,1.45508220098549,4.32986364388236,2.31450103760994,2.98343937575107,1.57331251055501,6.14244725347317,3.21116722295169,3.91070047663637,1.11713346741831,1.96659966568318,1.06066535639555,2.03417918766998,1.09119411896067,1.99089554075981,2.21367605035038,2.89887208247727,2.6874665180298,3.02034175892699,1.87640010654551,1.93057331273381,1.90664549102957,3.56588894959404,1.72651184172536,0.631160203989277,1.82799454457352
"REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION",6.31305925025233,1.9051621163945,1.33136135510115,2.70195217617499,7.39554003808333,1.38199276241806,2.91779135131662,3.35046098761096,5.05954334002028,1.52607164110954,2.7804479595645,2.30426688629492,4.3796000370918,0,1.97775728880745,1.31607191079886,5.80045105213063,1.33136135510115,2.79649630944733,2.21469246595627,5.02616814415384,2.21469246595627,2.51030097505442,2.79649630944733,7.75562434827528,4.13426373152453,5.22345664758309,2.33369332633197,2.48216052568242,0.716270513710395,3.63841379852097,0,3.1732252365116,1.43351473352655,3.91096389827208,2.47439817835134,2.78607537225905,1.07198221237735,0.437195077642202,1.63219457406579,4.09358546490731,1.12080612266616,1.32923141953102,1.82799454457352
"REACTOME_AMYLOID_FIBER_FORMATION",5.97158566558906,3.35046098761096,5.88605406364434,0.49688369302109,7.7397082049026,4.44047031332353,6.41070850704737,3.7106585623459,5.56049996648114,3.7899993710706,5.26850539658958,2.1950176764582,3.3312653616765,2.62643667490798,3.30142806174591,0,5.97158566558906,2.11336570754445,2.51030097505442,0.49688369302109,6.31305925025233,4.06590959836088,5.02616814415384,2.01028582288398,6.90851724017807,5.21086711815871,5.9121318971272,1.04250508626519,2.48216052568242,2.2413684824059,2.23734952670567,0.754001398846558,2.96777717932785,2.67994314298409,2.4742859731861,1.27229299461827,2.78607537225905,1.87640010654551,2.70896601291562,0,4.15166321481225,2.42560733778272,2.29980417254574,0
