"input_gene","RNA_assay","SCT_assay"
"Lrp11","LRP11","LRP11"
"Pcmt1","PCMT1","PCMT1"
"Nup43","NUP43","NUP43"
"Lats1","LATS1","LATS1"
"Katna1","KATNA1","KATNA1"
"Ginm1","GINM1","GINM1"
"Ppil4","PPIL4","PPIL4"
"Zc3h12d","ZC3H12D","ZC3H12D"
"Tab2","TAB2","TAB2"
"Ust","UST","UST"
"Sash1","SASH1","SASH1"
"Samd5","SAMD5","SAMD5"
"Stxbp5","STXBP5","STXBP5"
"Adgb","ADGB","ADGB"
"Dctn3l1","DCTN3","DCTN3"
"Shprh","SHPRH","SHPRH"
"Fbxo30","FBXO30","FBXO30"
"Epm2a","EPM2A","EPM2A"
"Utrn","UTRN","UTRN"
"Stx11","STX11","STX11"
"Sf3b5","SF3B5","SF3B5"
"Plagl1","PLAGL1","PLAGL1"
"Ltv1","LTV1","LTV1"
"Phactr2","PHACTR2","PHACTR2"
"Fuca2","FUCA2","FUCA2"
"Pex3","PEX3","PEX3"
"Adat2","ADAT2","ADAT2"
"Aig1","AIG1","AIG1"
"Hivep2","HIVEP2","HIVEP2"
"Adgrg6","ADGRG6","ADGRG6"
"Vta1","VTA1","VTA1"
"Nmbr","NMBR","NMBR"
"Cited2","CITED2","CITED2"
"Txlnb","TXLNB","TXLNB"
"Heca","HECA","HECA"
"Reps1","REPS1","REPS1"
"Ect2l","ECT2L","ECT2L"
"Ccdc28a","CCDC28A","CCDC28A"
"Nhsl1","NHSL1","NHSL1"
"Hebp2","HEBP2","HEBP2"
"Arfgef3","ARFGEF3","ARFGEF3"
"Perp","PERP","PERP"
"Tnfaip3","TNFAIP3","TNFAIP3"
"Olig3","OLIG3","OLIG3"
"Ifngr1","IFNGR1","IFNGR1"
"Il22ra2","IL22RA2","IL22RA2"
"Il20ra","IL20RA","IL20RA"
"Slc35d3","SLC35D3","SLC35D3"
"Pex7","PEX7","PEX7"
"Map3k5","MAP3K5","MAP3K5"
"Map7","MAP7","MAP7"
"Pde7b","PDE7B","PDE7B"
"Ahi1","AHI1","AHI1"
"Myb","MYB","MYB"
"Hbs1l","HBS1L","HBS1L"
