"input_gene","RNA_assay","SCT_assay"
"Lrp11","Lrp11","Lrp11"
"Pcmt1","Pcmt1","Pcmt1"
"Nup43","Nup43","Nup43"
"Lats1","Lats1","Lats1"
"Katna1","Katna1","Katna1"
"Ginm1","Ginm1","Ginm1"
"Ppil4","Ppil4","Ppil4"
"Zc3h12d","Zc3h12d","Zc3h12d"
"Tab2","Tab2","Tab2"
"Ust","Ust","Ust"
"Sash1","Sash1","Sash1"
"Samd5","Samd5","Samd5"
"Stxbp5","Stxbp5","Stxbp5"
"LOC120100355","Gm25635",NA
"Adgb","Adgb","Adgb"
"Dctn3l1","Dctn3","Dctn3"
"Shprh","Shprh","Shprh"
"Fbxo30","Fbxo30","Fbxo30"
"Epm2a","Epm2a","Epm2a"
"Utrn","Utrn","Utrn"
"Stx11","Stx11","Stx11"
"Sf3b5","Sf3b5","Sf3b5"
"Plagl1","Plagl1","Plagl1"
"Ltv1","Ltv1","Ltv1"
"Phactr2","Phactr2","Phactr2"
"Fuca2","Fuca2","Fuca2"
"Pex3","Pex3","Pex3"
"Adat2","Adat2","Adat2"
"Aig1","Aig1","Aig1"
"Hivep2","Hivep2","Hivep2"
"Adgrg6","Adgrg6","Adgrg6"
"Vta1","Vta1","Vta1"
"Nmbr","Nmbr","Nmbr"
"Cited2","Cited2","Cited2"
"Txlnb","Txlnb","Txlnb"
"Heca","Heca","Heca"
"Reps1","Reps1","Reps1"
"Ect2l","Ect2l","Ect2l"
"Ccdc28a","Ccdc28a","Ccdc28a"
"Nhsl1","Nhsl1","Nhsl1"
"Hebp2","Hebp2","Hebp2"
"Arfgef3","Arfgef3","Arfgef3"
"RGD1560303","Gm4922",NA
"Perp","Perp","Perp"
"Tnfaip3","Tnfaip3","Tnfaip3"
"Olig3","Olig3","Olig3"
"Ifngr1","Ifngr1","Ifngr1"
"Il22ra2","Il22ra2","Il22ra2"
"Il20ra","Il20ra","Il20ra"
"Slc35d3","Slc35d3","Slc35d3"
"Pex7","Pex7","Pex7"
"Map3k5","Map3k5","Map3k5"
"Map7","Map7","Map7"
"Pde7b","Pde7b","Pde7b"
"Ahi1","Ahi1","Ahi1"
